Address,Building City,Building State,Building ZIP,Building Footprint,Building Footprint Sq Ft,Parcel Number,Year Built,Effective Year Built,Property Use,Stories,Land Area,Construction Type,Tax District,Land Value,Denver GIS Aerial Image URL,Denver GIS Aerial Image File
2001 S PLATTE RIVER DR,DENVER,CO,80223,"POLYGON ((-105.0013567968789943 39.6808018664129989, -105.0013567537109935 39.6807908587111982, -105.0012208472639941 39.6807911590847979, -105.0012208760430070 39.6807990236560002, -105.0012172382849940 39.6807990326492970, -105.0011450766839971 39.6807991945273031, -105.0011437663719960 39.6807991945273031, -105.0011437330969954 39.6807901914141965, -105.0010035737559946 39.6807905016802991, -105.0010027589700030 39.6805711606305991, -105.0009162064179975 39.6805713512869005, -105.0009151748949989 39.6802939239254968, -105.0010022562489951 39.6802937305712007, -105.0010008272259938 39.6799094700460984, -105.0010891829190030 39.6799092730946015, -105.0010876558710038 39.6794987100973984, -105.0015358456030015 39.6794977172459014, -105.0015359391319976 39.6795233910916991, -105.0015384518380017 39.6795248560872977, -105.0015651590049970 39.6795429612387025, -105.0015361144999986 39.6795701594353005, -105.0015375264359960 39.6799495420377966, -105.0015378394000010 39.6800334946500968, -105.0015391317260054 39.6803799153008967, -105.0015394518839997 39.6804663473441011, -105.0015397621500028 39.6805499878917018, -105.0015403844810038 39.6807173319393982, -105.0015543257720054 39.6807172959665024, -105.0015546432319979 39.6808023466509994, -105.0015578978789961 39.6808023448524025, -105.0015579113679962 39.6808057379944970, -105.0015365614629985 39.6808057856584995, -105.0015365488730055 39.6808020381836002, -105.0014967853479959 39.6808021254177987, -105.0014967871470049 39.6808046399223002, -105.0014914586640060 39.6808046489154975, -105.0014914451739969 39.6808020444788028, -105.0014522779000004 39.6808021317131008, -105.0014522913899953 39.6808048701486982, -105.0014466706270042 39.6808048827392028, -105.0014466580369970 39.6808013645912965, -105.0014077713520066 39.6808014482283014, -105.0014077821430050 39.6808053377961016, -105.0014024527609990 39.6808053476886968, -105.0014024959280050 39.6808029267137030, -105.0013635840620054 39.6808023763286002, -105.0013618043039969 39.6808030526187991, -105.0013568022749979 39.6808030607126980, -105.0013567968789943 39.6808018664129989))",70349,0528112047000,1981,,MANUFACTURING INDUSTRIAL-PRINTING PLANT 401: MFG/PROCESSING Industrial 3215 3115 3215,1,3.05,401: MFG/PROCESSING,DENV,3331300,https://drapparchive.s3.us-east-2.amazonaws.com/2018/S1W149b.tif,aerial_images_80223_sample10/denver_gis/0528112047000-denver_gis-ai-crop.jpg
320 S LIPAN ST,DENVER,CO,80223,"POLYGON ((-105.0013265733630021 39.7104287739688004, -105.0013275671129946 39.7105366566415015, -105.0013283845970022 39.7106252677420031, -105.0009070720039972 39.7106275825968993, -105.0009054586199966 39.7104519252161978, -105.0004736896089952 39.7104542940304981, -105.0004671227590052 39.7097404319753977, -105.0013201908739973 39.7097357474069028, -105.0013265733630021 39.7104287739688004))",69998,0516100051000,1974,,WAREHOUSE INDUSTRIAL-WAREHOUSE 398: WAREHOUSE Commercial 2235 2135 2235,1,3.08,398: WAREHOUSE,DENV,6040100,https://drapparchive.s3.us-east-2.amazonaws.com/2018/S1W129b.tif,aerial_images_80223_sample10/denver_gis/0516100051000-denver_gis-ai-crop.jpg
756 S JASON ST,DENVER,CO,80223,"POLYGON ((-104.9975115898880063 39.7021787469517022, -104.9990690313109951 39.7021816355740000, -104.9990676895219934 39.7026153776975974, -104.9975102391060062 39.7026124890751007, -104.9975115898880063 39.7021787469517022))",69238,0516400114000,1970,,WAREHOUSE INDUSTRIAL-WAREHOUSE 398: WAREHOUSE Industrial 2235 2135 2235,1,3.02,398: WAREHOUSE,DENV,5321700,https://drapparchive.s3.us-east-2.amazonaws.com/2018/S1W129d.tif,aerial_images_80223_sample10/denver_gis/0516400114000-denver_gis-ai-crop.jpg
1385 S SANTA FE DR,DENVER,CO,80223,"POLYGON ((-104.9926288197639934 39.6923133441855001, -104.9926360638030047 39.6923128504576965, -104.9927265733730053 39.6923066784105032, -104.9927337589560068 39.6923061891793978, -104.9927374641629996 39.6923386160343981, -104.9927511743269974 39.6923376816387972, -104.9927744514800025 39.6923360943354027, -104.9930598279489971 39.6923166366036000, -104.9930579645530031 39.6923003309955007, -104.9930569168430026 39.6922911570112973, -104.9931150112490030 39.6922871963969968, -104.9930595203809958 39.6918014374863972, -104.9930582991009942 39.6917907436479993, -104.9930913995480068 39.6917608690689008, -104.9930487779789985 39.6917331969294978, -104.9930412128820052 39.6916669771493034, -104.9930397658719983 39.6916543021044035, -104.9930519777669957 39.6916432485371971, -104.9930578719229999 39.6916379137587967, -104.9931596994610032 39.6916309700932004, -104.9931746812670070 39.6916427296282990, -104.9932070595580029 39.6916681543618992, -104.9932488132819941 39.6916653080076003, -104.9932799109389947 39.6916631892049026, -104.9936478946350036 39.6918996290647002, -104.9936535288869948 39.6919489316979011, -104.9936554039740031 39.6919653308354015, -104.9937090575269991 39.6919877203570977, -104.9937151630240066 39.6920411814554015, -104.9936712293440024 39.6920804107824026, -104.9936682615810071 39.6920830601851975, -104.9936067623419973 39.6920872483279012, -104.9935915673970044 39.6920882879442019, -104.9936033179390051 39.6921911506011966, -104.9936166386970058 39.6923077809793980, -104.9936352996290054 39.6924711005609012, -104.9935771009020016 39.6925274961471004, -104.9935052747489976 39.6925323938548971, -104.9934697029640063 39.6925633916872016, -104.9934762446330012 39.6926206416292970, -104.9934162031949967 39.6926772890257027, -104.9926660660860023 39.6927284298731990, -104.9926223887119932 39.6923460723134980, -104.9926324809040068 39.6923453834327020, -104.9926288197639934 39.6923133441855001))",69187,0522300039000,1984,,WAREHOUSE INDUSTRIAL-WAREHOUSE 396: MINI WAREHOUSE Commercial 2235 2135 2235,2,3.64,396: MINI WAREHOUSE,DENV,4617000,https://drapparchive.s3.us-east-2.amazonaws.com/2018/S1E130a.tif,aerial_images_80223_sample10/denver_gis/0522300039000-denver_gis-ai-crop.jpg
1505 W 3RD AVE,DENVER,CO,80223,"POLYGON ((-105.0062577827700068 39.7215207593756006, -105.0062601506849944 39.7221305195078997, -105.0062475475859998 39.7221318981685982, -105.0062486114839970 39.7224838883208022, -105.0062894047320015 39.7224834980151016, -105.0062902267130056 39.7225338744388026, -105.0062487643690048 39.7225342710397982, -105.0062487679659995 39.7225354491516995, -105.0062492239230068 39.7226861440503995, -105.0057107575450033 39.7226880236335020, -105.0057121443000057 39.7215203106138972, -105.0057381446000022 39.7215202071919009, -105.0059952283969977 39.7215191819647018, -105.0062577764749960 39.7215181324558984, -105.0062577827700068 39.7215207593756006))",65128,0509100120000,1970,,WAREHOUSE INDUSTRIAL-WAREHOUSE 398: WAREHOUSE Industrial 2235 2135 2235,1,2.86,398: WAREHOUSE,DENV,5602500,https://drapparchive.s3.us-east-2.amazonaws.com/2018/S1W119b.tif,aerial_images_80223_sample10/denver_gis/0509100120000-denver_gis-ai-crop.jpg
2525 S DELAWARE ST,DENVER,CO,80223,"POLYGON ((-104.9928554866909991 39.6693057616516001, -104.9929341171159933 39.6693057364705979, -104.9929483830610053 39.6693057319739992, -104.9929576559709972 39.6693057283766990, -104.9929574032619968 39.6692817893232004, -104.9930019367899945 39.6692815060366968, -104.9930021948949985 39.6693057139875975, -104.9930082131580065 39.6693057130881996, -104.9930674595960056 39.6693056933032011, -104.9930899876130042 39.6693056870078991, -104.9931120111100000 39.6693056789140002, -104.9931120138080018 39.6693102141951002, -104.9931863292860044 39.6693101899134035, -104.9931865532170008 39.6697214678714971, -104.9931120245999949 39.6697214930524993, -104.9931124859519969 39.6705679637406021, -104.9928925567459999 39.6705680329883990, -104.9928924937940025 39.6704523127241018, -104.9928475906440042 39.6704523271133027, -104.9928475708589986 39.6704170224276993, -104.9928934767520019 39.6704170080385978, -104.9928934120009956 39.6702942343914984, -104.9925970880850059 39.6702943315181997, -104.9925970080449957 39.6701467329854012, -104.9925866415599955 39.6701467374819998, -104.9925866460570063 39.6701562136383998, -104.9925729295970029 39.6701562181349985, -104.9925729107110044 39.6701224764711995, -104.9925866433590045 39.6701224737731977, -104.9925866460570063 39.6701274937888968, -104.9925981879560055 39.6701274919902005, -104.9925980251790065 39.6698261012936015, -104.9925881200459941 39.6698261012936015, -104.9925881290390066 39.6698378104666034, -104.9925736922219954 39.6698378149632020, -104.9925736706379951 39.6698035157196998, -104.9925855974470039 39.6698035121223995, -104.9925856010449934 39.6698071426855989, -104.9925982248280008 39.6698071372896024, -104.9925980611519947 39.6694998947044013, -104.9925881614140053 39.6694998974024031, -104.9925881659110019 39.6695090938695998, -104.9925726481090038 39.6695090983661984, -104.9925726301229929 39.6694764763582981, -104.9925867207009986 39.6694764709624010, -104.9925867216000057 39.6694806555078969, -104.9925986250270000 39.6694806510112983, -104.9925985305980021 39.6693058443892994, -104.9927819536240037 39.6693057859332967, -104.9927819185510032 39.6692925488121020, -104.9928443872589980 39.6692924534839975, -104.9928444196339967 39.6693057643496019, -104.9928554866909991 39.6693057616516001))",61974,0527411008000,1964,,MANUFACTURING INDUSTRIAL-FACTORY 401: MFG/PROCESSING Industrial 3215 3115 3215,1,4.41,401: MFG/PROCESSING,DENV,3844700,https://drapparchive.s3.us-east-2.amazonaws.com/2018/S1E140c.tif,aerial_images_80223_sample10/denver_gis/0527411008000-denver_gis-ai-crop.jpg
260 N RIO GRANDE BLVD,DENVER,CO,80223,"POLYGON ((-105.0041872799189946 39.7207899235162003, -105.0041870128199974 39.7206281876407985, -105.0041869975320026 39.7206174794131996, -105.0041866054269946 39.7203800871713000, -105.0041865820449942 39.7203651071639996, -105.0041863680060032 39.7202362505026016, -105.0049326218429968 39.7202358934717026, -105.0050530095890053 39.7201746937072002, -105.0050565205419986 39.7201786633146980, -105.0050645335009989 39.7201740776716008, -105.0053252631499987 39.7204839696594973, -105.0051896184060070 39.7205523082425032, -105.0052736582530031 39.7206533902418002, -105.0052003437210004 39.7206889332477004, -105.0052003742979991 39.7207895709819994, -105.0052027476090046 39.7207891141263971, -105.0052033438589945 39.7207964489969996, -105.0042965241649995 39.7207979310797015, -105.0042944449329951 39.7207894477747985, -105.0041954124880021 39.7207898875432974, -105.0041872799189946 39.7207899235162003))",60190,0509100029000,1951,,WAREHOUSE INDUSTRIAL-WAREHOUSE 398: WAREHOUSE Industrial 2235 2135 2235,2,2.72,398: WAREHOUSE,DENV,5400400,https://drapparchive.s3.us-east-2.amazonaws.com/2018/S1W119b.tif,aerial_images_80223_sample10/denver_gis/0509100029000-denver_gis-ai-crop.jpg
1550 W EVANS AVE,DENVER,CO,80223,"POLYGON ((-105.0057543377919984 39.6783482056051966, -105.0057493888230056 39.6766392580952996, -105.0057827275909972 39.6766390764323020, -105.0060919378930038 39.6766397410313019, -105.0060970046729949 39.6783501904089988, -105.0057716263590066 39.6783507524853007, -105.0057543458860039 39.6783507839614984, -105.0057543377919984 39.6783482056051966))",60106,0528100040000,1975,,WAREHOUSE INDUSTRIAL-WAREHOUSE 398: WAREHOUSE Industrial 2235 2135 2235,1,4.16,398: WAREHOUSE,DENV,4167100,https://drapparchive.s3.us-east-2.amazonaws.com/2018/S1W149b.tif,aerial_images_80223_sample10/denver_gis/0528100040000-denver_gis-ai-crop.jpg
2555 S SANTA FE DR,DENVER,CO,80223,"POLYGON ((-104.9957172436560029 39.6706869665303969, -104.9957170035369955 39.6706868577123970, -104.9957162373139994 39.6706864566148028, -104.9957155052660056 39.6706860204435969, -104.9957148136879965 39.6706855500980993, -104.9957141625790058 39.6706850446790966, -104.9957135474419943 39.6706845095825003, -104.9957129817690031 39.6706839457076015, -104.9957124610610038 39.6706833566516011, -104.9957119925140034 39.6706827397167032, -104.9957115716320004 39.6706821038959987, -104.9957112065069964 39.6706814473909972, -104.9957108944419986 39.6706807764967024, -104.9957106372360016 39.6706800930119030, -104.9957104375869932 39.6706793951381016, -104.9957102963929998 39.6706786900696002, -104.9957102082589984 39.6706779778064984, -104.9957101812800033 39.6706772646440982, -104.9957102136550020 39.6706765523811029, -104.9957103044870053 39.6706758437153013, -104.9957104510759933 39.6706751404453968, -104.9957106552229931 39.6706744443700998, -104.9957109187240007 39.6706737617846983, -104.9957112325869986 39.6706730926890998, -104.9957116031080062 39.6706724406805975, -104.9957120275879987 39.6706718084572998, -104.9957297298430063 39.6706038017240985, -104.9958094331589962 39.6706163490652983, -104.9958144423829935 39.6705973490884034, -104.9958092487979968 39.6705965325039998, -104.9958527373139958 39.6704315617672023, -104.9958712489590056 39.6704344764699002, -104.9958791351139951 39.6704045596228028, -104.9958585181559982 39.6704013148688972, -104.9959089296529982 39.6702100749350990, -104.9958352257149983 39.6701984718820029, -104.9958497200880032 39.6701427795657011, -104.9958513415659951 39.6701365499619030, -104.9958542211950032 39.6701254900993021, -104.9958550018070014 39.6701247265748975, -104.9958558444720040 39.6701240008220992, -104.9958567509879970 39.6701233191358966, -104.9958577114639979 39.6701226815166024, -104.9958587232009961 39.6701220924606019, -104.9958597835019987 39.6701215546661032, -104.9958608860710001 39.6701210699314970, -104.9958620300089933 39.6701206400555009, -104.9958632081209942 39.6701202659375980, -104.9958644150109990 39.6701199484769020, -104.9958656479810060 39.6701196912707985, -104.9958668998369973 39.6701194943192021, -104.9958681669820066 39.6701193585216032, -104.9958694431200001 39.6701192865758969, -104.9958707246539973 39.6701192748846978, -104.9958720043889997 39.6701193234480982, -104.9958732769299985 39.6701194358632989, -104.9958745395779971 39.6701196103318026, -104.9958757851390061 39.6701198450547992, -104.9958770082169934 39.6701201391332035, -104.9958782070140018 39.6701204907680989, -104.9958793707360059 39.6701209008588975, -104.9958805002849971 39.6701213640098018, -104.9958815893640036 39.6701218820193020, -104.9968938365809947 39.6702792265052011, -104.9967725108430017 39.6707453936850030, -104.9968221696070003 39.6707531116667980, -104.9968171675780013 39.6707723337762985, -104.9968129533550041 39.6707885260696997, -104.9967639771760020 39.6707809142079029, -104.9967467101919993 39.6708472652890975, -104.9957257971079940 39.6706885754175005, -104.9957248753029972 39.6706886014978011, -104.9957239534980005 39.6706885844106978, -104.9957230352899984 39.6706885205587980, -104.9957221251760018 39.6706884117408975, -104.9957212240550035 39.6706882597554014, -104.9957203373240020 39.6706880619045990, -104.9957194703769972 39.6706878235842026, -104.9957186223169998 39.6706875411970969, -104.9957177949400062 39.6706872201391008, -104.9957172436560029 39.6706869665303969))",59783,0527400009000,1941,,WAREHOUSE INDUSTRIAL-WAREHOUSE 398: WAREHOUSE Industrial 2235 2135 2235,2,6.54,398: WAREHOUSE,DENV,12154400,https://drapparchive.s3.us-east-2.amazonaws.com/2018/S1E140c.tif,aerial_images_80223_sample10/denver_gis/0527400009000-denver_gis-ai-crop.jpg
1705 S ACOMA ST,DENVER,CO,80223,"POLYGON ((-104.9890598961970056 39.6853894970276997, -104.9889929065970051 39.6853894898330992, -104.9889844826479930 39.6853894898330992, -104.9889844880439966 39.6853539117537011, -104.9888748903640021 39.6853539009618004, -104.9888803816239999 39.6849607488396003, -104.9888807233670036 39.6849362387165030, -104.9888843197559964 39.6846788725319968, -104.9888756305060014 39.6846787106539978, -104.9888556367779984 39.6846783365361020, -104.9888553822700032 39.6846783320393968, -104.9888540962389953 39.6846777708624998, -104.9888528893490047 39.6846771134581005, -104.9888517705930013 39.6846763706179999, -104.9888507516610048 39.6846755432418021, -104.9888498433460029 39.6846746457184025, -104.9888490528410045 39.6846736816452008, -104.9888483864440047 39.6846726636126022, -104.9888478540450052 39.6846716006139033, -104.9888474601419972 39.6846704998436977, -104.9888472074329968 39.6846693765904988, -104.9888470995140040 39.6846682398473973, -104.9888471345879992 39.6846670986076973, -104.9888473135529949 39.6846659663613011, -104.9888476364090053 39.6846648530005979, -104.9888481013589967 39.6846637693176021, -104.9888486994079955 39.6846627270032997, -104.9888494278589945 39.6846617323530992, -104.9888502768189937 39.6846608006555002, -104.9888512417909965 39.6846599373063000, -104.9888523092869974 39.6846591512988027, -104.9888534748079962 39.6846584498276016, -104.9888547221680000 39.6846578382887003, -104.9888558076490028 39.6846574174060009, -104.9888560414729994 39.6846573265744027, -104.9888753903869940 39.6846576907998028, -104.9888846138340028 39.6846578616709991, -104.9888864466520033 39.6845265048943006, -104.9890367629359957 39.6845265210820983, -104.9890367737280030 39.6844700679393014, -104.9888837945510005 39.6844700517514966, -104.9888838637990034 39.6840607801809000, -104.9893233489929969 39.6840608251470002, -104.9893096082520003 39.6853507164624020, -104.9891675351539959 39.6853507011739026, -104.9891675198650063 39.6854355594036008, -104.9891675198650063 39.6854415533849973, -104.9891077743040029 39.6854415452911979, -104.9891077832979960 39.6853895024237033, -104.9890598961970056 39.6853894970276997))",57752,0522611004000,1950,,MANUFACTURING INDUSTRIAL-FACTORY 401: MFG/PROCESSING Industrial 3215 3115 3215,1,1.72,401: MFG/PROCESSING,DENV,3000000,https://drapparchive.s3.us-east-2.amazonaws.com/2018/S1E130c.tif,aerial_images_80223_sample10/denver_gis/0522611004000-denver_gis-ai-crop.jpg
1123 W 3RD AVE,DENVER,CO,80223,"POLYGON ((-105.0028276578700002 39.7214430741385982, -105.0027253437999946 39.7214433772101998, -105.0027134916339975 39.7214434131830032, -105.0027123935620068 39.7212225873525995, -105.0026066036119943 39.7212228994172989, -105.0024066654350037 39.7212234920705995, -105.0022889909439954 39.7212238383094984, -105.0020920618990061 39.7212244210701968, -105.0019721588879946 39.7212247763023996, -105.0018681370050047 39.7212250838705998, -105.0018676387799985 39.7211250558766977, -105.0018675236670020 39.7211036771929997, -105.0023325747879994 39.7211023012301965, -105.0023784842800012 39.7211021654325975, -105.0028268223999959 39.7211008380333013, -105.0028268475810052 39.7211051430878967, -105.0028269231240046 39.7211206060311994, -105.0028276461790000 39.7212666784145014, -105.0030968933070028 39.7212658753199008, -105.0034175393879963 39.7212649256359001, -105.0039051518010069 39.7212634822240034, -105.0039060151499939 39.7214370486808974, -105.0039062300880062 39.7214805515861968, -105.0039068776000022 39.7216096600578012, -105.0029651929889951 39.7216124515533977, -105.0029392142729989 39.7216125279958021, -105.0029379228469963 39.7216560866592019, -105.0028284582670040 39.7216575606478983, -105.0028285023339976 39.7216128571476972, -105.0028276578700002 39.7214430741385982))",53272,0509115002000,1927,,STATE ASSESSED PERSONAL PROPERTY INDUSTRIAL-WAREHOUSE 398: WAREHOUSE Industrial 8992 8991 8992,2,18.95,398: WAREHOUSE,DENV,25297700,https://drapparchive.s3.us-east-2.amazonaws.com/2018/S1W119b.tif,aerial_images_80223_sample10/denver_gis/0509115002000-denver_gis-ai-crop.jpg
301 S CHEROKEE ST,DENVER,CO,80223,"POLYGON ((-104.9935347770079943 39.7110181941343967, -104.9933580881049977 39.7110168361581017, -104.9933119034219970 39.7110164800266006, -104.9932989675729971 39.7110163811012029, -104.9932725086190004 39.7110161787537024, -104.9932591905590016 39.7110160753316990, -104.9931766777609994 39.7110154413095984, -104.9929992505149983 39.7110140770381008, -104.9929988386249988 39.7110140734408006, -104.9929989015780052 39.7110086667166016, -104.9930000401199948 39.7109205637330973, -104.9930029242459995 39.7106973295181973, -104.9930034071810070 39.7106598664597001, -104.9929274909110006 39.7106592738064990, -104.9929268712780015 39.7107073965292017, -104.9929237695159969 39.7109482808385010, -104.9929230590520035 39.7110034200717976, -104.9929229385430034 39.7110123881112997, -104.9929181091829946 39.7110123521383969, -104.9927622359879962 39.7110111533420991, -104.9927637315609985 39.7108950670536984, -104.9928241066470065 39.7108955293052972, -104.9928250662240004 39.7108212300158030, -104.9927629509490004 39.7108207515764988, -104.9927636299379969 39.7107681385388034, -104.9925220081839967 39.7107662823380991, -104.9925276820069939 39.7103261568267030, -104.9925505598600068 39.7103263348924997, -104.9925508872139943 39.7103008067369032, -104.9925884572910064 39.7103010864260995, -104.9925887720540061 39.7102769872931987, -104.9926276983100024 39.7102772903647008, -104.9926278475970065 39.7102660623289978, -104.9928970137860063 39.7102681316689967, -104.9928961540339998 39.7103349665854992, -104.9929072462719972 39.7103350034577005, -104.9929071014820039 39.7103607060818007, -104.9928958266810071 39.7103603724332999, -104.9928958122920051 39.7103615541425015, -104.9928946323809953 39.7104531689786029, -104.9929112653429968 39.7104531680792974, -104.9929112590470055 39.7104129018339975, -104.9929176433350051 39.7104129009346991, -104.9929464414250049 39.7104128982366973, -104.9929463838689969 39.7104164820350007, -104.9929458092019985 39.7104521770263972, -104.9930028208240032 39.7104514332870977, -104.9930027344889965 39.7104580864715970, -104.9930019421859981 39.7105194966774988, -104.9935147374149977 39.7105234402047031, -104.9935355063589952 39.7105236011832972, -104.9935426056070042 39.7105236596392999, -104.9935422602670059 39.7105507975812984, -104.9935422215960017 39.7105537725386029, -104.9935400497329994 39.7107222326449971, -104.9935511626560043 39.7107222695171984, -104.9935551745320055 39.7107222812082981, -104.9935552959399985 39.7107494623178994, -104.9935514054729992 39.7107494515259987, -104.9935396945009956 39.7107494191504031, -104.9935394022219981 39.7107721414212023, -104.9935490312630009 39.7107719615568016, -104.9935489602160033 39.7107844882135979, -104.9935392448399938 39.7107844504420981, -104.9935390613789963 39.7107986075697994, -104.9935383724979943 39.7108520416883977, -104.9935382924579983 39.7108582065409976, -104.9935374920620035 39.7109203595870000, -104.9935362312120049 39.7110182067249013, -104.9935347770079943 39.7110181941343967))",52362,0515301017000,1951,,MANUFACTURING INDUSTRIAL-FACTORY 401: MFG/PROCESSING Industrial 3215 3115 3215,2,5.17,401: MFG/PROCESSING,DENV,22059900,https://drapparchive.s3.us-east-2.amazonaws.com/2018/S1E120a.tif,aerial_images_80223_sample10/denver_gis/0515301017000-denver_gis-ai-crop.jpg
2625 S SANTA FE DR,DENVER,CO,80223,"POLYGON ((-104.9959329379550041 39.6693465674902015, -104.9971862781240048 39.6695370295104013, -104.9972275561070063 39.6695433013822978, -104.9975449709239967 39.6695915311242970, -104.9976518274699941 39.6696077728804966, -104.9976985571429964 39.6696148712293990, -104.9977605851830020 39.6696242979231002, -104.9976933302829991 39.6698886356521001, -104.9958821226619960 39.6696134062337009, -104.9958810101999944 39.6696177805361998, -104.9958634788160055 39.6696151167443034, -104.9958702839859939 39.6695883816985031, -104.9958731959909954 39.6695888241649968, -104.9959279790929969 39.6693735246685009, -104.9959261498720053 39.6693732503753012, -104.9959329379550041 39.6693465674902015))",51424,0527400014000,1971,,WAREHOUSE INDUSTRIAL-WAREHOUSE 398: WAREHOUSE Industrial 2235 2135 2235,1,12.59,398: WAREHOUSE,DENV,22564300,https://drapparchive.s3.us-east-2.amazonaws.com/2018/S1E140c.tif,aerial_images_80223_sample10/denver_gis/0527400014000-denver_gis-ai-crop.jpg
2300 W 2ND AVE,DENVER,CO,80223,"POLYGON ((-105.0138692048000024 39.7199765766577997, -105.0138690770960039 39.7198578481611975, -105.0138690303309943 39.7198131671439967, -105.0138683252630045 39.7191496887071978, -105.0138723964939942 39.7191496851098975, -105.0138723812050046 39.7191626974005985, -105.0144046125829931 39.7191630634247019, -105.0144048904730028 39.7193392532039979, -105.0144052996650004 39.7196001402342986, -105.0146511716140054 39.7195999891482003, -105.0146534819729993 39.7195999873496035, -105.0146537364809944 39.7198347166988981, -105.0144049696140058 39.7198348740801990, -105.0144051323910048 39.7199879827592000, -105.0138692155919955 39.7199883254008981, -105.0138692048000024 39.7199765766577997))",51330,0509300067000,1969,,WAREHOUSE INDUSTRIAL-WAREHOUSE 398: WAREHOUSE Industrial 2235 2135 2235,1,2.98,398: WAREHOUSE,DENV,4088500,https://drapparchive.s3.us-east-2.amazonaws.com/2018/S1W119a.tif,aerial_images_80223_sample10/denver_gis/0509300067000-denver_gis-ai-crop.jpg
1133 S PLATTE RIVER DR,DENVER,CO,80223,"POLYGON ((-104.9935568751500057 39.6959087365990015, -104.9934754622230031 39.6958453334953987, -104.9934755710410030 39.6958337888982982, -104.9934756915500031 39.6958212100809007, -104.9934860166659973 39.6958212685366973, -104.9934889115839951 39.6955168696078999, -104.9934957131570030 39.6955169073793996, -104.9934958462559962 39.6955027889226031, -104.9935300798489948 39.6955029831761976, -104.9936136538470066 39.6952831286134966, -104.9945025869249946 39.6952881702129972, -104.9941507172819968 39.6958972216795019, -104.9935900133680065 39.6958940389787998, -104.9935898730740007 39.6959089236580027, -104.9935568751500057 39.6959087365990015))",50644,0522400073000,1957,1959,WAREHOUSE INDUSTRIAL-WAREHOUSE 398: WAREHOUSE Industrial 2235 2135 2235,1,2.36,398: WAREHOUSE,DENV,2517000,https://drapparchive.s3.us-east-2.amazonaws.com/2018/S1E130a.tif,aerial_images_80223_sample10/denver_gis/0522400073000-denver_gis-ai-crop.jpg
1336 S JASON ST,DENVER,CO,80223,"POLYGON ((-104.9986953288260025 39.6929730130940968, -104.9986973801800048 39.6928310182370012, -104.9986594197959988 39.6928306908837030, -104.9986598622629970 39.6927999997203003, -104.9986978235459958 39.6928003270734990, -104.9986988011090006 39.6927326180160023, -104.9987108178499966 39.6927327205387002, -104.9987109194729982 39.6927257921616032, -104.9987156966719937 39.6927258317317992, -104.9987255667309967 39.6920418604436023, -104.9987683411859933 39.6920422300648994, -104.9987712936599991 39.6918377386207979, -104.9988789685900059 39.6918386667210967, -104.9988793472039958 39.6918124433896011, -104.9987322379020043 39.6918111762447978, -104.9987323035529982 39.6914781240162995, -104.9987198074729946 39.6914780160975980, -104.9987199001029978 39.6914716444008988, -104.9987306847729940 39.6914717352323976, -104.9987292395630050 39.6913536767307988, -104.9987354844549969 39.6913537306902029, -104.9988758317540061 39.6913549366810017, -104.9988742597389972 39.6916254680410034, -104.9990586306510068 39.6916270562437035, -104.9990555945399962 39.6918374643275982, -104.9990385955550067 39.6918373177380985, -104.9990356080070057 39.6920444540882968, -104.9991077812990028 39.6920450764191983, -104.9991047029199933 39.6922583668302025, -104.9991204833240062 39.6922585035271993, -104.9991195435320037 39.6923236603087020, -104.9991021434489937 39.6923235110212005, -104.9991020625100049 39.6923291084017009, -104.9991188870269951 39.6923292522931987, -104.9991172061940006 39.6924458916645975, -104.9990994140070057 39.6924457387799023, -104.9990952276630054 39.6927360309431023, -104.9990504558140003 39.6927356478319027, -104.9989746681460048 39.6927349931254980, -104.9989716221430029 39.6929461080764980, -104.9989711985620033 39.6929753900023030, -104.9986953288260025 39.6929730130940968))",50501,0521118009000,1964,,WAREHOUSE INDUSTRIAL-WAREHOUSE 397: OFFICE/WAREHOUSE Commercial 2235 2135 2235,1,0.22,397: OFFICE/WAREHOUSE,DENV,238100,https://drapparchive.s3.us-east-2.amazonaws.com/2018/S1W139b.tif,aerial_images_80223_sample10/denver_gis/0521118009000-denver_gis-ai-crop.jpg
